timestamp,temperature_c,humidity_pct
9/09/2025 18:16,22.3,49.9
9/09/2025 18:16,22.3,49.9
9/09/2025 18:16,22.3,50.1
9/09/2025 18:16,22.3,50.1
9/09/2025 18:16,22.2,49.9
9/09/2025 18:16,22.2,49.9
9/09/2025 18:16,22.3,50
9/09/2025 18:16,22.3,50
9/09/2025 18:16,22.2,50.1
9/09/2025 18:16,22.2,50.1
9/09/2025 18:16,22.2,50
9/09/2025 18:16,22.2,50
9/09/2025 18:16,22.3,50.1
9/09/2025 18:16,22.3,50.1
9/09/2025 18:16,22.2,50
9/09/2025 18:16,22.2,50
9/09/2025 18:16,22.3,50.1
9/09/2025 18:16,22.3,50.1
9/09/2025 18:16,22.2,50.2
9/09/2025 18:16,22.2,50.2
9/09/2025 18:16,22.2,50.2
9/09/2025 18:16,22.2,50.2
9/09/2025 18:16,22.2,50
9/09/2025 18:16,22.2,50
9/09/2025 18:16,22.3,50.1
9/09/2025 18:16,22.3,50.1
9/09/2025 18:16,22.3,50.2
9/09/2025 18:16,22.3,50.2
9/09/2025 18:16,22.2,50.3
9/09/2025 18:16,22.2,50.3
9/09/2025 18:16,22.2,50.1
9/09/2025 18:16,22.2,50.1
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.1
9/09/2025 18:17,22.2,50.1
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.1
9/09/2025 18:17,22.2,50.1
9/09/2025 18:17,22.2,50.3
9/09/2025 18:17,22.2,50.3
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.3,50.2
9/09/2025 18:17,22.3,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.1
9/09/2025 18:17,22.2,50.1
9/09/2025 18:17,22.2,50.1
9/09/2025 18:17,22.2,50.1
9/09/2025 18:17,22.2,50.1
9/09/2025 18:17,22.2,50.1
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.1
9/09/2025 18:17,22.2,50.1
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.3
9/09/2025 18:17,22.2,50.3
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.3
9/09/2025 18:17,22.2,50.3
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.3
9/09/2025 18:17,22.2,50.3
9/09/2025 18:17,22.2,50.2
9/09/2025 18:17,22.2,50.2
9/09/2025 18:18,22.2,50.3
9/09/2025 18:18,22.2,50.3
9/09/2025 18:18,22.2,50.2
9/09/2025 18:18,22.2,50.2
9/09/2025 18:18,22.2,50.1
9/09/2025 18:18,22.2,50.1
9/09/2025 18:18,22.2,50.2
9/09/2025 18:18,22.2,50.2
9/09/2025 18:18,22.2,50.1
9/09/2025 18:18,22.2,50.1
9/09/2025 18:18,22.2,50.1
9/09/2025 18:18,22.2,50.1
9/09/2025 18:18,22.2,50.1
9/09/2025 18:18,22.2,50.1
9/09/2025 18:18,22.2,50.3
9/09/2025 18:18,22.2,50.3
9/09/2025 18:18,22.2,50.2
9/09/2025 18:18,22.2,50.2
9/09/2025 18:18,22.2,50.1
9/09/2025 18:18,22.2,50.1
9/09/2025 18:18,22.2,50.1
9/09/2025 18:18,22.2,50.1
9/09/2025 18:18,22.2,50.3
9/09/2025 18:18,22.2,50.3
9/09/2025 18:18,22.2,50.3
9/09/2025 18:18,22.2,50.3
9/09/2025 18:18,22.2,50.2
9/09/2025 18:18,22.2,50.2
9/09/2025 18:18,22.2,50.2
9/09/2025 18:18,22.2,50.2
