time,value
2025-08-27T17:26:24.056586712Z,26.700000762939453
2025-08-27T18:02:34.817780417Z,26.700000762939453
2025-08-27T18:06:02.879618001Z,26.700000762939453
2025-08-27T18:10:42.534953642Z,26.700000762939453
2025-08-27T18:10:42.964719855Z,20.399999618530273
2025-08-27T18:10:45.118211658Z,20.299999237060547
2025-08-27T18:10:47.372821215Z,20.399999618530273
2025-08-27T18:13:04.574489321Z,20.399999618530273
2025-08-27T18:14:48.906410782Z,20.299999237060547
2025-08-27T18:14:50.854451124Z,20.399999618530273
2025-08-27T18:14:52.786476295Z,20.299999237060547
2025-08-27T18:14:56.892485017Z,20.399999618530273
2025-08-27T18:15:00.976469554Z,20.299999237060547
2025-08-27T18:15:09.07475122Z,20.399999618530273
2025-08-27T18:15:11.224475629Z,20.299999237060547
2025-08-27T18:15:55.786563441Z,20.399999618530273
2025-08-27T18:15:59.857283698Z,20.299999237060547
2025-08-27T18:17:39.196521318Z,20.200000762939453
2025-08-27T18:17:45.556420131Z,20.299999237060547
2025-08-27T18:17:47.376878395Z,20.200000762939453
2025-08-27T18:18:27.852645728Z,20.299999237060547
2025-08-27T18:18:29.986804841Z,20.200000762939453
2025-08-27T18:18:35.940865494Z,20.299999237060547
2025-08-27T18:18:37.975135963Z,20.200000762939453
2025-08-27T18:18:42.186586601Z,20.299999237060547
2025-08-27T18:19:06.426533928Z,20.399999618530273
2025-08-27T18:19:08.395043209Z,20.299999237060547
2025-08-27T18:19:16.469577732Z,20.399999618530273
2025-08-27T18:19:32.652820532Z,20.5
2025-08-27T18:19:36.744814036Z,20.399999618530273
2025-08-27T18:19:38.789550982Z,20.5
2025-08-27T18:19:50.864485806Z,20.600000381469727
2025-08-27T18:19:52.924494577Z,20.5
2025-08-27T18:19:57.01958664Z,20.600000381469727
2025-08-27T18:20:11.159665074Z,20.700000762939453
2025-08-27T18:20:13.199511628Z,20.600000381469727
2025-08-27T18:20:15.246550375Z,20.700000762939453
2025-08-27T18:20:25.269587849Z,20.799999237060547
2025-08-27T18:20:27.324473827Z,20.700000762939453
2025-08-27T18:20:31.415723753Z,20.799999237060547
2025-08-27T18:20:41.465074788Z,20.899999618530273
2025-08-27T18:20:43.499644237Z,20.799999237060547
2025-08-27T18:20:45.6547184Z,20.899999618530273
2025-08-27T18:20:55.694582195Z,21
2025-08-27T18:20:57.729317824Z,20.899999618530273
2025-08-27T18:21:01.72447942Z,21
2025-08-27T18:21:15.969827813Z,21.100000381469727
2025-08-27T18:21:28.054444765Z,21.200000762939453
2025-08-27T18:21:42.16974862Z,21.299999237060547
2025-08-27T18:21:56.419720903Z,21.399999618530273
2025-08-27T18:21:58.476494479Z,21.299999237060547
2025-08-27T18:22:00.506950379Z,21.399999618530273
2025-08-27T18:22:17.13259219Z,21.5
2025-08-27T18:22:38.906521643Z,21.600000381469727
2025-08-27T18:22:40.866447286Z,21.5
2025-08-27T18:22:42.906616557Z,21.600000381469727
2025-08-27T18:22:45.059783216Z,21.5
2025-08-27T18:22:48.946477984Z,21.600000381469727
2025-08-27T18:23:05.236718161Z,21.700000762939453
2025-08-27T18:23:07.17466504Z,21.600000381469727
2025-08-27T18:23:11.276639745Z,21.700000762939453
2025-08-27T18:23:13.20471812Z,21.600000381469727
2025-08-27T18:23:15.376433938Z,21.700000762939453
2025-08-27T18:23:33.706481742Z,21.799999237060547
2025-08-27T18:23:35.536971268Z,21.700000762939453
2025-08-27T18:23:37.486812774Z,21.799999237060547
2025-08-27T18:23:57.666443839Z,21.899999618530273
2025-08-27T18:23:59.716326124Z,21.799999237060547
2025-08-27T18:24:01.874547791Z,21.899999618530273
2025-08-27T18:24:25.926472364Z,22
2025-08-27T18:24:52.239545543Z,22.100000381469727
2025-08-27T18:25:16.416575769Z,22.200000762939453
2025-08-27T18:25:34.514573723Z,22.299999237060547
2025-08-27T18:25:48.656606834Z,22.399999618530273
2025-08-27T18:25:50.706703719Z,22.299999237060547
2025-08-27T18:25:54.822668956Z,22.399999618530273
2025-08-27T18:26:13.036502609Z,22.5
2025-08-27T18:26:49.584479765Z,22.5
2025-08-27T18:26:50.835697139Z,22.600000381469727
2025-08-27T18:27:02.896716499Z,22.700000762939453
2025-08-27T18:27:08.953187746Z,22.600000381469727
2025-08-27T18:27:10.886800938Z,22.700000762939453
2025-08-27T18:27:22.966782208Z,22.799999237060547
2025-08-27T18:27:43.236535346Z,22.899999618530273
2025-08-27T18:28:03.299837217Z,23
2025-08-27T18:28:17.437104412Z,23.100000381469727
2025-08-27T18:28:19.806658999Z,23
2025-08-27T18:28:25.562496724Z,23.100000381469727
2025-08-27T18:29:08.02668759Z,23.200000762939453
2025-08-27T18:29:44.176881349Z,23.299999237060547
2025-08-27T18:29:46.116745764Z,23.200000762939453
2025-08-27T18:29:50.326486649Z,23.299999237060547
2025-08-27T18:29:54.21679838Z,23.200000762939453
2025-08-27T18:30:02.526572623Z,23.299999237060547
2025-08-27T18:30:04.376621292Z,23.200000762939453
2025-08-27T18:30:06.096230895Z,23.299999237060547
2025-08-27T18:30:16.536803921Z,23.200000762939453
2025-08-27T18:30:18.376607248Z,23.299999237060547
2025-08-27T18:31:59.848690092Z,23.200000762939453
2025-08-27T18:32:04.559842954Z,23.299999237060547
2025-08-27T18:32:11.124564417Z,23.200000762939453
2025-08-27T18:32:22.393706307Z,23.299999237060547
2025-08-27T18:32:22.400290623Z,23.200000762939453
2025-08-27T18:32:22.408412073Z,23.299999237060547
2025-08-27T18:32:26.179561937Z,23.200000762939453
