gyro_x,gyro_y,gyro_z,timestamp,firebase_key
-0.49,0.0,0.31,2025-08-22 09:00:42.834088+00:00,-OYG-Z70rIXNr8cJhiw5
-0.49,0.0,0.31,2025-08-22 09:00:43.836316+00:00,-OYG-ZMkPKcMgeuwC_l9
-0.49,0.0,0.31,2025-08-22 09:00:44.838498+00:00,-OYG-ZbHRRfTb-ma29Rb
-0.49,0.0,0.31,2025-08-22 09:00:45.840679+00:00,-OYG-Zr-l6WPNBfZ3UQZ
-0.55,0.0,0.31,2025-08-22 09:00:46.842963+00:00,-OYG-_5UnmTryTg527tg
-0.49,-0.06,0.31,2025-08-22 09:00:47.845351+00:00,-OYG-_Kziv2VpHP4894d
-0.49,0.0,0.31,2025-08-22 09:00:48.847517+00:00,-OYG-_a2EJOCRhxCn1Ez
-0.49,-0.06,0.31,2025-08-22 09:00:49.849997+00:00,-OYG-_plLqfl6oW-m3TI
-0.49,0.06,0.31,2025-08-22 09:00:50.852068+00:00,-OYG-a3vw3oE2yiyNsiN
-0.49,-0.31,0.43,2025-08-22 09:00:51.854347+00:00,-OYG-aJkBbTYM2MxgilN
-0.49,-0.12,0.31,2025-08-22 09:00:52.856674+00:00,-OYG-aZW-v9gWM0GSndn
-0.49,-0.06,0.37,2025-08-22 09:00:53.858891+00:00,-OYG-ao1VLlI4GnReT8o
-0.55,0.0,0.31,2025-08-22 09:00:54.861140+00:00,-OYG-b3ih487GBkobmWp
-0.55,0.0,0.31,2025-08-22 09:00:55.863432+00:00,-OYG-bIvIjt9tacIbf9Z
-0.55,0.0,0.31,2025-08-22 09:00:56.865595+00:00,-OYG-bYM2v6vYm9WPNiA
-0.49,0.06,0.31,2025-08-22 09:00:57.867861+00:00,-OYG-bp5eVwj_RPwpO8n
-0.49,0.06,0.37,2025-08-22 09:00:58.870190+00:00,-OYG-c1dGynWXdtTjIfC
-0.55,0.0,0.31,2025-08-22 09:00:59.872455+00:00,-OYG-cHaoFIjrCeHNbS8
-0.55,0.0,0.31,2025-08-22 09:01:00.874679+00:00,-OYG-cX1faW-Jv2ANmpF
-0.55,0.0,0.31,2025-08-22 09:01:01.876815+00:00,-OYG-cliNpMm7EE_DJ09
-0.55,0.0,0.31,2025-08-22 09:01:02.879074+00:00,-OYG-d-vnI1N6Xmp0NTa
-0.49,0.0,0.31,2025-08-22 09:01:03.881208+00:00,-OYG-dFhjllebcZDOiGc
-0.49,0.0,0.31,2025-08-22 09:01:04.883381+00:00,-OYG-dVElsbMLuKsYt5g
-0.49,0.0,0.31,2025-08-22 09:01:05.885602+00:00,-OYG-dkeeduI92OtrRQI
-0.49,0.0,0.37,2025-08-22 09:01:06.887938+00:00,-OYG-dzOUDVthuFdZ7JA
-0.55,0.0,0.31,2025-08-22 09:01:07.890035+00:00,-OYG-eEU8MQlHZ6J7Pv8
-0.49,0.06,0.31,2025-08-22 09:01:08.892188+00:00,-OYG-eULxesLg3IvGh90
-0.55,0.0,0.31,2025-08-22 09:01:09.894502+00:00,-OYG-eiiw0nubLNZlSoP
-0.55,0.0,0.31,2025-08-22 09:01:10.896712+00:00,-OYG-eygkSrt6RzxGnBR
-0.55,0.06,0.31,2025-08-22 09:01:11.898998+00:00,-OYG-fDW0uYr5JvLZo_X
-0.49,0.0,0.31,2025-08-22 09:01:12.901162+00:00,-OYG-fSvIe8Q3t5T1KPm
-0.49,0.0,0.31,2025-08-22 09:01:13.903393+00:00,-OYG-fhssJol0Ovp5Exn
-0.49,0.0,0.31,2025-08-22 09:01:14.905590+00:00,-OYG-fxIunqIbaqQstfB
-0.49,0.0,0.31,2025-08-22 09:01:15.907766+00:00,-OYG-gC5RidMvqPnqV1N
-0.49,-0.06,0.31,2025-08-22 09:01:16.910096+00:00,-OYG-gRhXg_m5KYQkGeI
-0.49,0.0,0.31,2025-08-22 09:01:17.912311+00:00,-OYG-gg92MvE9v1q9YfS
-0.49,0.0,0.31,2025-08-22 09:01:18.914494+00:00,-OYG-gvrTy5GtKTvOXXS
-0.55,0.0,0.37,2025-08-22 09:01:19.916742+00:00,-OYG-hAOr8O-isk4Qknn
-0.55,0.0,0.31,2025-08-22 09:01:20.919052+00:00,-OYG-hQGDuSVTUSWAnMh
-0.49,-0.06,0.31,2025-08-22 09:01:21.921356+00:00,-OYG-hevh1LO0e0H24xF
-0.49,0.0,0.31,2025-08-22 09:01:22.923561+00:00,-OYG-hv4fEardYjj33Jd
-0.43,0.0,0.31,2025-08-22 09:01:23.925722+00:00,-OYG-i9IYDL7Ak4EuOJE
-0.49,0.0,0.31,2025-08-22 09:01:24.928004+00:00,-OYG-iOKsBaSOh-PnXkX
-0.49,0.0,0.37,2025-08-22 09:01:25.930236+00:00,-OYG-idTOx3D9YUpnB6i
-0.49,-0.24,0.31,2025-08-22 09:01:26.932452+00:00,-OYG-it6uya6k4mx46iI
-0.49,0.06,0.31,2025-08-22 09:01:27.934679+00:00,-OYG-j8DBGDnvAknN6TJ
-0.49,-0.06,0.37,2025-08-22 09:01:28.936971+00:00,-OYG-jN88avYyOq0OQN3
-0.49,-0.06,0.31,2025-08-22 09:01:29.939184+00:00,-OYG-jc180YbaDG3GpNC
-0.49,0.0,0.31,2025-08-22 09:01:30.941420+00:00,-OYG-jtI1Vz77fY2T19E
-0.49,0.0,0.31,2025-08-22 09:01:31.943760+00:00,-OYG-k6uqxKQXMSSqt7Q
-0.49,-0.06,0.31,2025-08-22 09:01:32.946016+00:00,-OYG-kQqC2T7Dmh_46yP
-0.49,0.0,0.31,2025-08-22 09:01:33.948181+00:00,-OYG-kaqOQRZZ_bobC1y
-0.49,0.0,0.37,2025-08-22 09:01:34.950330+00:00,-OYG-kqG0SwK7ByhKKI2
-0.55,0.0,0.31,2025-08-22 09:01:35.952558+00:00,-OYG-l4edP_q7oSBX9Wg
-0.55,0.0,0.37,2025-08-22 09:01:36.954790+00:00,-OYG-lK_MKgAW7YrlBCD
-0.55,0.0,0.31,2025-08-22 09:01:37.956938+00:00,-OYG-l_8hugzGmojQ9BA
-0.49,0.0,0.31,2025-08-22 09:01:38.959183+00:00,-OYG-lpK81KRqkwdY0XU
-0.55,0.0,0.37,2025-08-22 09:01:39.961361+00:00,-OYG-m3fxl5Ds2ylFUjo
-0.49,0.0,0.31,2025-08-22 09:01:40.963444+00:00,-OYG-mJe1218xEWEmBjW
-0.49,-0.06,0.31,2025-08-22 09:01:41.965721+00:00,-OYG-m_9jYI6kwQUVuxE
-0.55,0.0,0.31,2025-08-22 09:01:42.968034+00:00,-OYG-mnhxd-75SNMO89V
-0.55,0.0,0.31,2025-08-22 09:01:43.970279+00:00,-OYG-n2NyVXRYhlMmnjc
-0.55,0.0,0.37,2025-08-22 09:01:44.972436+00:00,-OYG-nOOE02bu4X10PdW
-0.49,0.0,0.37,2025-08-22 09:01:45.974551+00:00,-OYG-nXQfnkgm4doA_iq
-0.49,0.0,0.31,2025-08-22 09:01:46.976677+00:00,-OYG-nm_bsc6g3BRlh6B
-0.49,0.0,0.37,2025-08-22 09:01:47.978847+00:00,-OYG-o0ufc4rwUbNmdf8
-0.49,0.0,0.31,2025-08-22 09:01:48.980932+00:00,-OYG-oGQq6OzYvdspHyb
-0.55,0.0,0.31,2025-08-22 09:01:49.983212+00:00,-OYG-oX0I_-RgxtbmbMJ
-0.55,0.0,0.31,2025-08-22 09:01:50.985478+00:00,-OYG-olFvic2pKm9Ubzd
-0.49,0.0,0.31,2025-08-22 09:01:51.987645+00:00,-OYG-p-T_jt0YRK4EB_t
-0.55,0.0,0.31,2025-08-22 09:01:52.989884+00:00,-OYG-pGJj2g4brcHuOFp
-0.49,0.0,0.37,2025-08-22 09:01:53.992202+00:00,-OYG-pUYsmIoGkAH21lv
-0.49,0.0,0.31,2025-08-22 09:01:54.994178+00:00,-OYG-pjWmKycrCQuUpMi
-0.55,-0.06,0.31,2025-08-22 09:01:55.996561+00:00,-OYG-pz8xT6kd3-_mexU
-0.55,0.0,0.37,2025-08-22 09:01:56.998848+00:00,-OYG-qEkiWb4nglqNilQ
-0.49,0.0,0.31,2025-08-22 09:01:58.001180+00:00,-OYG-qTw8GaVAWrZ2Bzt
-0.55,0.06,0.31,2025-08-22 09:01:59.003386+00:00,-OYG-qiMpBSfw-59LVO1
-0.49,-0.06,0.31,2025-08-22 09:02:00.005617+00:00,-OYG-qyCX5c4WyFzJfFl
-0.49,0.0,0.31,2025-08-22 09:02:01.007848+00:00,-OYG-rCsGG-cnTUzSV0B
-0.55,0.0,0.31,2025-08-22 09:02:02.010099+00:00,-OYG-rSZy5KC-3JYpqDt
-0.55,0.0,0.31,2025-08-22 09:02:03.012212+00:00,-OYG-rgquOWDORkDeMzX
-0.55,0.0,0.31,2025-08-22 09:02:04.014492+00:00,-OYG-rw76DYcTNKBVaGc
-0.55,0.0,0.31,2025-08-22 09:02:05.016737+00:00,-OYG-sBGHegw7o3srooL
-0.49,0.0,0.31,2025-08-22 09:02:06.018822+00:00,-OYG-sQeCMks72uuTPZt
-0.55,0.0,0.37,2025-08-22 09:02:07.021101+00:00,-OYG-siNE1rN7t6uzIOX
-0.55,0.0,0.31,2025-08-22 09:02:08.023383+00:00,-OYG-svKDf-7uqEesUM4
-0.55,0.0,0.37,2025-08-22 09:02:09.025529+00:00,-OYG-tAK8umPGg__ask_
-0.55,0.0,0.31,2025-08-22 09:02:10.027734+00:00,-OYG-tPzzMBYS20BhwDr
-0.49,0.0,0.31,2025-08-22 09:02:11.029910+00:00,-OYG-tdnOqhn9W0fLzwy
