timestamp,x,y,z
1.75696E+12,-0.854,0.122,0.366
1.75696E+12,0.427,0.183,0.427
1.75696E+12,-0.61,0.183,0.366
1.75696E+12,-0.916,0.122,0.427
1.75696E+12,-1.892,0.183,0.427
1.75696E+12,7.019,0,0.732
1.75696E+12,-0.183,0.122,0.366
1.75696E+12,-0.549,0.122,0.366
1.75696E+12,1.16,0.244,0.427
1.75696E+12,-0.427,0.183,0.366
1.75696E+12,-0.671,0.122,0.366
1.75696E+12,0.305,0.122,0.366
1.75696E+12,-0.732,0.122,0.427
1.75696E+12,-0.61,0.122,0.366
1.75696E+12,0.488,0.122,0.427
1.75696E+12,-1.404,0.122,0.427
1.75696E+12,-0.183,0.183,0.427
1.75696E+12,-0.61,0.122,0.427
1.75696E+12,-0.549,0.183,0.366
1.75696E+12,-0.488,0.183,0.366
1.75696E+12,-0.427,0.122,0.427
1.75696E+12,-0.793,0.183,0.427
1.75696E+12,-0.671,0.183,0.366
1.75696E+12,-0.549,0.183,0.427
1.75696E+12,-0.366,0.122,0.366
1.75696E+12,-1.221,0.122,0.427
1.75696E+12,-5.005,0.122,0.366
1.75696E+12,-0.61,0.122,0.427
1.75696E+12,-0.61,0.183,0.366
1.75696E+12,-0.61,0.122,0.427
1.75696E+12,-0.671,0.183,0.427
1.75696E+12,-0.61,0.122,0.366
1.75696E+12,-0.671,0.122,0.366
1.75696E+12,-0.732,0.183,0.366
1.75696E+12,-0.671,0.122,0.427
1.75696E+12,-0.671,0.183,0.427
1.75696E+12,-0.671,0.122,0.366
1.75696E+12,-0.671,0.183,0.366
1.75696E+12,-0.732,0.183,0.427
1.75696E+12,-0.61,0.122,0.366
1.75696E+12,-0.61,0.122,0.427
1.75696E+12,-0.671,0.122,0.366
1.75696E+12,-0.61,0.183,0.427
1.75696E+12,-0.732,0.183,0.427
1.75696E+12,-0.671,0.183,0.366
1.75696E+12,-0.671,0.122,0.427
1.75696E+12,-0.671,0.122,0.427
1.75696E+12,-0.732,0.183,0.427
1.75696E+12,-0.671,0.122,0.427
1.75696E+12,-0.671,0.122,0.427
1.75696E+12,-0.732,0.183,0.427
1.75696E+12,-0.671,0.122,0.427
1.75696E+12,-0.671,0.122,0.366
1.75696E+12,-0.671,0.122,0.366
1.75696E+12,-0.671,0.122,0.366
1.75696E+12,-0.61,0.122,0.366
1.75696E+12,-0.671,0.122,0.427
1.75696E+12,-0.732,0.183,0.366
1.75696E+12,-0.732,0.183,0.366
1.75696E+12,-0.671,0.183,0.366
1.75696E+12,-0.732,0.183,0.427
1.75696E+12,-0.671,0.183,0.366
1.75696E+12,-0.671,0.183,0.366
1.75696E+12,-0.671,0.122,0.427
1.75696E+12,-0.671,0.122,0.427
1.75696E+12,-0.732,0.183,0.427
1.75696E+12,-0.671,0.122,0.427
1.75696E+12,-0.671,0.122,0.366
1.75696E+12,-0.732,0.183,0.366
1.75696E+12,-0.671,0.122,0.366
1.75696E+12,-0.671,0.122,0.427
1.75696E+12,-0.732,0.122,0.427
1.75696E+12,-0.671,0.122,0.366
1.75696E+12,-0.61,0.122,0.366
1.75696E+12,-0.61,0.122,0.366
1.75696E+12,-0.61,0.122,0.427
1.75696E+12,-0.671,0.183,0.366
1.75696E+12,-0.61,0.122,0.366
1.75696E+12,-0.671,0.122,0.366
1.75696E+12,-0.671,0.122,0.427
1.75696E+12,-0.671,0.122,0.427
1.75696E+12,-0.671,0.122,0.366
1.75696E+12,-0.671,0.183,0.366
1.75696E+12,-0.61,0.122,0.366
1.75696E+12,-0.732,0.183,0.366
1.75696E+12,-0.671,0.183,0.427
1.75696E+12,-0.61,0.122,0.366
1.75696E+12,-0.671,0.122,0.366
1.75696E+12,-0.671,0.122,0.366
1.75696E+12,-0.61,0.122,0.366
1.75696E+12,-68.176,62.439,-77.393
1.75696E+12,189.148,-83.801,-46.265
1.75696E+12,-79.468,-112.671,-22.278
1.75696E+12,365.234,138,-453.613
1.75696E+12,-132.019,118.53,243.286
1.75696E+12,-269.165,-295.471,-87.585
1.75696E+12,103.149,115.662,53.772
1.75696E+12,103.638,157.898,-147.949
1.75696E+12,-139.709,-234.924,-28.87
1.75696E+12,69.58,226.135,-75.012
1.75696E+12,-110.229,-158.936,-7.385
1.75696E+12,75.806,159.058,-100.342
1.75696E+12,-227.6,-254.272,-49.133
1.75696E+12,93.872,142.334,-26.306
1.75696E+12,-135.498,-263.733,-5.493
1.75696E+12,-28.259,-72.815,-27.649
1.75696E+12,13.245,132.935,-51.514
1.75696E+12,37.048,266.174,-48.767
1.75696E+12,47.119,109.741,-11.169
1.75696E+12,-150.696,-110.718,-19.836
1.75696E+12,184.57,87.83,20.142
1.75696E+12,330.811,103.516,-122.192
1.75696E+12,-116.516,-92.896,112.183
1.75696E+12,-63.66,-100.098,-23.926
1.75696E+12,153.442,183.777,-63.354
1.75696E+12,-197.632,-251.953,-41.199
1.75696E+12,86.426,126.465,29.297
1.75696E+12,23.499,59.387,11.292
1.75696E+12,-124.268,-188.416,-53.772
1.75696E+12,58.899,81.299,84.167
1.75696E+12,91.125,245.239,-146.179
1.75696E+12,-175.476,-278.687,74.402
1.75696E+12,13.123,12.512,39.673
1.75696E+12,113.342,233.887,-96.191
1.75696E+12,-157.227,-262.085,53.345
1.75696E+12,101.379,8.789,55.847
1.75696E+12,62.622,210.51,-60.608
1.75696E+12,-197.205,-497.498,39.246
1.75696E+12,-9.521,-333.374,-119.934
1.75696E+12,-246.521,-151.001,-523.987
1.75696E+12,-48.157,16.296,-289.246
1.75696E+12,-185.913,109.619,-187.378
1.75696E+12,120.483,-55.481,389.709
1.75696E+12,161.865,568.787,243.835
1.75696E+12,-136.475,-189.026,202.759
1.75696E+12,-8.728,-132.568,171.936
1.75696E+12,595.825,237.366,-255.066
1.75696E+12,-203.857,-424.561,-250.916
1.75696E+12,-76.111,-7.385,246.033
1.75696E+12,-98.694,689.88,130.188
1.75696E+12,-329.712,-294.983,20.02
1.75696E+12,212.708,541.077,-163.757
1.75696E+12,-464.844,-394.409,72.693
1.75696E+12,238.586,397.339,-44.006
1.75696E+12,-147.583,-386.108,-63.171
1.75696E+12,100.525,27.466,-394.958
1.75696E+12,31.189,294.067,387.817
1.75696E+12,855.164,129.089,35.278
1.75696E+12,-726.379,-156.433,-529.541
1.75696E+12,-291.565,-62.317,-162.476
1.75696E+12,257.935,529.968,-8.606
1.75696E+12,80.933,428.406,32.898
1.75696E+12,-174.561,-202.026,79.468
1.75696E+12,-100.647,-319.153,-95.52
1.75696E+12,183.411,355.53,-10.559
1.75696E+12,34.058,33.997,-54.688
1.75696E+12,-127.808,-289.978,11.292
1.75696E+12,194.214,280.579,-53.284
1.75696E+12,-9.949,31.311,77.332
1.75696E+12,-243.347,-84.595,58.838
1.75696E+12,-150.696,-213.013,-124.329
1.75696E+12,-22.888,-78.186,-100.647
1.75696E+12,352.051,29.053,261.963
1.75696E+12,240.967,147.583,-270.935
1.75696E+12,-44.617,147.827,-46.326
1.75696E+12,-531.616,-150.024,30.701
